#,title,artist,href
304,Outro (Confession risquée),White-B,https://genius.com/White-b-outro-confession-risquee-lyrics
305,Lost Boys,Rymz,https://genius.com/Rymz-lost-boys-lyrics
306,Le vide,Souldia,https://genius.com/Souldia-le-vide-lyrics
307,PONT CHAMPLAIN,Lost,https://genius.com/Lost-pont-champlain-lyrics
308,La cause,Caballero & JeanJass (Ft. Roi Heenok ),https://genius.com/Caballero-and-jeanjass-la-cause-lyrics
309,Tuna,Tizzo & Shreez (Ft. Soft ),https://genius.com/Tizzo-and-shreez-tuna-lyrics
310,Belzébuth,Enima,https://genius.com/Enima-belzebuth-lyrics
311,Palmarès,JMB Drippy (Ft. Rach ),https://genius.com/Jmb-drippy-palmares-lyrics
312,Back to Back,Pretty City (Ft. Lost ),https://genius.com/Pretty-city-back-to-back-lyrics
313,Never Sober,Dead Obies,https://genius.com/Dead-obies-never-sober-lyrics
314,La thérapie,Souldia (Ft. Infrak & T-Mo (Taktika) ),https://genius.com/Souldia-la-therapie-lyrics
315,Lucidité,Lary Kidd,https://genius.com/Lary-kidd-lucidite-lyrics
316,Big Bag,Mike Shabb,https://genius.com/Mike-shabb-big-bag-lyrics
